Character,Dialogue
Arthur Weasley," Morning, Weasleys."
Arthur Weasley, What a night. Nine raids. Nine!
Arthur Weasley, Well now. Aah! And who are you?
Arthur Weasley," Good Lord! Are you really? Well, Ron’s told us all about you, of course. When did he get here?"
Arthur Weasley, Did you really? How’d it go? Did you—
Arthur Weasley," I mean…that was very wrong, indeed, boys. Very wrong of you. Now, Harry, you must know all about Muggles. Tell me, what exactly is the function of a rubber duck?"
Arthur Weasley," Dumbledore must know you’re here, Harry. Doesn’t miss a trick, that man."
Arthur Weasley, ‘Diaganilly.’
Arthur Weasley," Children, it’s mad in here! Let’s go outside."
Arthur Weasley, Lucius.
Arthur Weasley," We have a very different idea about what disgraces the name of wizard, Malfoy."
Arthur Weasley,1058! Come on! Come on!
Arthur Weasley," Fred, George, Percy you first!"
Arthur Weasley," After you, dear."
Aunt Petunia, He’s in there. Vernon…
Aunt Petunia," Not now, Bopkins. For when the Masons arrive."
Aunt Petunia," …in the lounge, waiting to welcome them graciously into our home."
Aunt Petunia, Oh!
Colin," Hi, Harry! (flash) I’m Colin Creevy! I’m in Gryffindor, too!"
Colin," (flash) Wow! Can you turn him around, Harry?"
Cornelius Fudge," Bad business, Hagrid. Very bad business. Had to come-- three attacks on Muggle-borns. Things have gone far enough. The Ministry’s got to act."
Cornelius Fudge," Albus look, Hagrid’s record is against him. I’ve got to take him."
Cornelius Fudge," I’m afraid we have no choice, Hagrid."
Cornelius Fudge," Come, Hagrid… Well?"
Cornelius Fudge, Good boy.
Crabbe," Ha, ha, ha, ha, ha!"
Crabbe, It’s good right? Ah… Cool!
Crabbe & Goyle, Ummm…um.
Dean Thomas, Ron? Is that your owl?
Dobby," Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!"
Dobby," Dobby sir, Dobby the house elf."
Dobby," Oh, oh yes, sir! Dobby understands! It’s just that, Dobby has come to tell you- it is difficult, sir- Dobby wonders where to begin?"
Dobby," S-sit down? S-sit- sit down? Oh, oh, ho. Oh, ho, ho… Oh, ho, ho. Ohh, ho, hoo…"
Dobby," Offend Dobby? Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal."
Dobby," No, I haven’t. That was an awful thing to say. Bad Dobby!"
Dobby, Bad Dobby!
Dobby, Baaad Dobby!
Dobby, Bad Dobby. Bad Dobby!
Dobby," Dobby had to punish himself, sir. Dobby almost spoke ill of his family, sir."
Dobby," The wizard family Dobby serves, sir. Dobby is bound to serve one family forever. If they ever knew Dobby was here…ooh… But Dobby had to come. Dobby has to protect Harry Potter- to warn him. Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! There is a plot, a plot to make most terrible things happen."
Dobby, Ooo… er… can’t… say… argh...
Dobby," Don’t make me talk, I— Errr…"
Dobby, Bad Dobby.
Dobby, Let me go!
Dobby, Friends who don’t even write to Harry Potter?
Dobby," Harry Potter mustn’t be angry with Dobby. Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir."
Dobby, No! Ahh! Ooh…
Dobby, (Snap!)
Dobby, Harry Potter must say he’s not going back to school!
Dobby," Then, Dobby must do it, sir, for Harry Potter’s own good. (Snap!)"
Dobby, (Snap!)
Dobby, Hello!
Dobby, Harry Potter should have listened to Dobby! Harry Potter should have gone back home when he missed the train.
Dobby," Indeed. Yes, sir."
Dobby, At least you would be away from here. Harry Potter must go home! Dobby thought his Bludger would be enough to make Harry Potter see that---
Dobby," Uhuh… Dobby feels most aggrieved, sir. Dobby had to iron his hands."
Dobby, Uh-huh-huh… Dobby is used to death threats sir. Dobby gets them five times a day at home.
Dobby," Not kill you, sir, never kill you! Dobby remembers how it was before Harry Potter triumphed over He-Who-Must-Not-Be-Named. We house elves were treated like vermin, sir. Of course, Dobby is still treated like vermin…uh, huh, huh, huh! Aah, ahh…"
Dobby," This, sir? It is a mark of the house-elves’ enslavement. Dobby can only be freed if his master presents him with clothes. Ah! Listen. Listen! Terrible things are about to happen at Hogwarts. Harry Potter must not stay here, now that history is to repeat itself."
Dobby, Ah! I shouldn’t have said that! Oh! Ah! Dah! Bad Dobby! Bad!
Dobby," Dobby cannot say, sir. Dobby only wants Harry Potter to be safe. HARRY No, Dobby. Tell me. Who is it?"
Dobby, (Snap!)
Dobby, Um-humm…
Dobby, Ahh! Oow!
Dobby, Master has given Dobby a sock!
Dobby, You shall not harm Harry Potter!
Dobby, Harry Potter freed Dobby! How can Dobby ever repay him?
Dobby," Anything, sir!"
Draco," I’ll bet you loved that, didn’t you, Potter? Famous Harry Potter! Can’t even go into a bookshop without making the front page."
Draco," Oh look, Potter. You’ve got yourself a girlfriend."
Draco, That’s right. And that’s not all that new this year.
Draco," You see Weasley, unlike some, my father can afford the best."
Draco," No one asked your opinion, you filthy little Mudblood!"
Draco," Ha, ha!"
Draco," Ha, ha…"
Draco," ‘Enemies of the heir beware!’ You’ll be next, Mudbloods!"
Draco," All right there, Scarhead?"
Draco," Training for the ballet, Potter?"
Draco," You’ll never catch me, Potter!"
Draco," Uhh, uhhh…"
Draco," Scared, Potter?"
Draco, Everte statium!
Draco, Serpensortia!
Draco," Crabbe, Goyle! Where have you two been? Pigging out in the Great Hall all this time? Why are you wearing glasses?"
Draco, Reading?
Draco," I didn’t know you could read. And what are you doing down here, Weasley?"
Draco," Well, sit down. You’d never know the Weasleys were pure-bloods, the way they behave. They’re an embarrassment to the wizarding world. All of them. What’s wrong with you, Crabbe?"
Draco," You know, I’m surprised that the Daily Prophet hasn’t done a report on all these attacks. I suppose Dumbledore is trying to hush it all up. Father always said Dumbledore was the worst thing that ever happened to this place."
Draco, What? You think there’s someone here who’s worse than Dumbledore?
Draco," Good one, Goyle. You’re absolutely right. Saint Potter. And people actually think that he’s the Heir of Slytherin!"
Draco," You know I don’t Goyle. I told you yesterday. How many times do I have to tell you? Is this yours? But my father did say this It’s been fifty years since the Chamber was opened. He wouldn’t tell me who opened it-- only that they were expelled. The last time the Chamber of Secrets was opened, a Mudblood died. So, it’s only a matter of time before one of them is killed this time. As for me, I hope it’s Granger. What’s the matter with you two? You’re acting very…odd."
Draco, Hey! Where are you going?
Dudley, Who’d want to be friends with you?
Dudley, I’ll be waiting to open the door!
Dudley, Dad! What’s going on?
Dudley," Dad, hurry up!"
Dudley, Dad!
Dumbledore, …They are not.
Dumbledore," I am well aware of our bylaws, Severus, having written quite a few of them myself. However, as head of Gryffindor house, it is for Professor McGonagall to determine the appropriate action."
Dumbledore," Argus! Argus, I… Everyone will proceed to their dormitories immediately. Everyone except… you three."
Dumbledore," She’s not dead, Argus. She has been Petrified."
Dumbledore," But how she has been Petrified, I cannot say…"
Dumbledore," Innocent until proven guilty, Severus."
Dumbledore," We will be able to cure her, Argus. As I understand it, Madame Sprout has a very healthy growth of Mandrakes. When matured, a potion will be made which will revive Mrs. Norris. And in the meantime, I strongly recommend caution… to all."
Dumbledore, There’s been another attack.
Dumbledore, It means…that our students are in great danger.
Dumbledore," The truth. Tell them Hogwarts is no longer safe. It is as we feared, Minerva. The Chamber of Secrets has indeed been opened again."
Dumbledore, Harry?
Dumbledore," Oh, and about time, too. He’s been looking dreadful for days. Pity you had to see him on a burning day. Fawkes is a phoenix, Harry. They burst into flame when it is time for them to die, and then they are reborn from the ashes."
Dumbledore," Ah, fascinating creatures, phoenixes. They can carry immensely heavy loads, and their- their tears have healing powers."
Dumbledore," Hagrid. HAGRID In fact, I’d be prepared ter swear it in front o’ the Ministry of Magic!"
Dumbledore, Hagrid! Relax. I do not believe that Harry attacked anyone.
Dumbledore, Yes.
Dumbledore," No, Harry. I do not think it was you… But I must ask you, is there something you wish to tell me?"
Dumbledore," Very well, then. Off you go."
Dumbledore, Riddle! Come.
Dumbledore," It is not wise to be wandering around this late hour, Tom."
Dumbledore," I’m afraid they are, Tom. They are true."
Dumbledore," I understand Tom, but I’m afraid Headmaster Dippet may have no choice."
Dumbledore, Is there something you wish to tell me?
Dumbledore," Very well, then. Off you go."
Dumbledore," Good evening, Hagrid. I wonder, could we…?"
Dumbledore," I want it understood, Cornelius, that Hagrid has my full confidence."
Dumbledore," Well, what exactly is it that you want with me?"
Dumbledore," Calm yourself, Hagrid. If the governors desire my removal, I will, of course, step aside. However, you will find that help will always be given at Hogwarts to those who ask for it."
Dumbledore," You both realize, of course, that in the past few hours you have broken perhaps a dozen school rules?"
Dumbledore, And there is sufficient evidence to have you both expelled.
Dumbledore," Therefore, it is only fitting, that you both receive Special Awards for Services to the School."
Dumbledore," And now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban? I believe we- we want our gamekeeper back. Harry… first, I want to thank you, Harry. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. And, um… second, I sense that something is troubling you. Am I right, Harry?"
Dumbledore," I see. Well, you can speak Parseltongue, Harry. Why? Because Lord Voldemort can speak Parseltongue. If I’m not mistaken, Harry, he transferred some of his powers to you the night he gave you that scar."
Dumbledore," Not intentionally, but yes."
Dumbledore," It’s true, Harry. You possess many of the qualities that Voldemort himself prizes. Determination, resourcefulness, and if I may say so, a certain disregard for the rules. Why then did the Sorting Hat place you in Gryffindor?"
Dumbledore," Exactly, Harry! Exactly! Which makes you different from Voldemort. It is not our abilities that show what we truly are. It is our choices. If you want proof why you belong in Gryffindor, then I suggest that you look more closely at this. Be careful."
Dumbledore, Ah- it would take a true Gryffindor to pull that out of the hat.
Dumbledore," When the governors learned that Arthur Weasley’s daughter was taken into the Chamber, they saw fit to summon me back."
Dumbledore," Curiously, Lucius, several of them were under the impression that you would curse their families, if they did not agree to suspend me in the first place."
Dumbledore, I beg your pardon?
Dumbledore," Oh, yes."
Dumbledore, Voldemort.
Dumbledore," Only, this time, he chose to act through somebody else, by means of this."
Dumbledore," Fortunately, our young Mr. Potter discovered it. One hopes that no more of Lord Voldemort’s old school things should find their way into innocent hands. The consequences for the one responsible would be severe."
Dumbledore," Before we begin the feast, let us have a round of applause for Professor Sprout and Madame Pomfrey, whose Mandrake juice has been so successfully administered to all who had been Petrified. Also, in light of the recent events, as a school treat, all exams have been canceled."
Filch," Well, take a good look lads. This night might well be the last you spend in this castle. Hm. Oh, dear, we are in trouble."
Filch," What’s going on ‘ere? Go on, make way, make way. Potter-- What are you…Mrs. Norris? You’ve…murdered my cat."
Filch, I’ll kill ya… I’ll kill ya!
Filch, Ask him. It’s him who’s done it. You saw what he wrote on the wall.
Filch, Rubbish!
Filch, My cat has been Petrified. I wanna see some punishment!
Filch," Caught in the act! I’ll have you out this time, Potter. Mark my words."
Fred, Come on.
Fred, Right.
Fred," Come on. Okay, come on. Shh! Shh! Ok, come on. Shh! Come on."
Fred," This lot won’t come cheap, Mum. The spell books alone are very expensive."
Fred," And not to mention, they’re dead scared that Harry’ll Petrify them if they fly anywhere near him."
George," Go, go, go, go!"
George, Right!
George," Yeah, Mum would never know."
Ginny," Mum- Mummy, have you seen my jumper?"
Ginny, Leave him alone.
Ginny," Harry. It was me- but I swear, I didn’t mean to! Riddle made me, and… Harry, you’re hurt!"
Haary, ‘Do you know anything about the Chamber of Secrets?’
Hagrid, Harry?
Hagrid, What do you think you’re doing down ‘ere? Come on!
Hagrid," Yer a mess, Harry. Skulkin’ ‘round Knockturn Alley? Dodgy place! Don’ want no one ter see you there. People’ll think you were up to no good."
Hagrid," Me? Oh, I was… um… I was lookin’ for Flesh-Eatin’ Slug Repellent. They’re ruinin’ all the school cabbages."
Hagrid," Hello, Hermione!"
Hagrid," You’ll be all right now then, Harry? Right. I’ll leave you to it, then."
Hagrid," Wo, this calls for a specialist’s equipment. Nothin’ to do but wait’ll it stops, I’m afraid."
Hagrid," Better out than in. Who’s Ron tryin’ to curse, anyway?"
Hagrid, He did not!
Hagrid," See, the thing is, Harry, there’re some wizards, like the Malfoy family, who think they’re better’n everyone else because they’re what people call “pure blood.”"
Hagrid," And it’s codswallop, to boot. “Dirty blood.” Why, there isn’t a wizard alive today that’s not half blood or less. More ter the point, they’ve yet to think of a spell that our Hermione can’ do. Come here… Don’t you think on it, Hermione. Don’t you think on it for one minute… eh?"
Hagrid," Blimey! Harry’s got himself a rogue Bludger! That’s been tampered with, that has!"
Hagrid, Broken? There’s no bones left!
Hagrid," Professor Dumbledore, sir! Wait! Listen! Professor Dumbledore, sir, it wasn’t Harry!"
Hagrid," Well, of course you don’t, and… Oh… Oh, right. Well, I’ll, umhum. I’ll just wait outside, then."
Hagrid, Let’s get yeh out of there.
Hagrid, You can’t! You don’t understand.
Hagrid, It wasn’t him. Aragog never killed no one! Never!
Hagrid, No!
Hagrid, No!
Hagrid, Aragog! Aragog!
Hagrid," Mad and hairy? You wouldn’t be talking about me now, would ya?"
Hagrid," Oh, It’s a- Flesh-Eatin’ Slug Repellent. For the Mandrakes, ya know. Now, accordin’ to Professor Sprout, they’ve still got a bit o’ growing up to do. But, once their acne’s cleared up, we’ll be able to chop ‘em up and stew ‘em, and then we’ll get those people down at the hospital un-Petrified. In the meantime, though, you three had best be lookin’ after yourselves. All right? Hmm."
Hagrid," Hello, Neville!"
Hagrid, Who’s there? Hello? Hello?
Hagrid," Oh, nothing. I- I was expecting, ah… It doesn’t matter- come on inI just made a pot o’ tea."
Hagrid, I’m fine! I’m alright.
Hagrid," Oh, yeah. I heard about that, all righ’."
Hagrid," What you had to understand about that is— (knock, knock, knock) Quick under the cloak. Don’t say a word. Be quiet, both o’ you… Professor Dumbledore, sir!"
Hagrid, Of course! Come in! Come in.
Hagrid," Oh, but I never- you know I never, Professor!"
Hagrid, Take me? Take me where? Not Azkaban Prison?
Hagrid, What’re you doin’ here? Get outta my house!
Hagrid," Yeh can’ take Professor Dumbledore away. Take him away, an’ the Muggle-borns won’ stand a chance! You mark my words, there’ll be killin’s next!"
Hagrid," Ahem! If, uh, if anybody was looking for some stuff, then all they’d have to do would be to follow the spiders. Yup! That would lead them right! That’s all I have to say. Oh, and someone’ll need to feed Fang while I’m away."
Hagrid," Sorry I’m late! The owl that delivered my release papers got all lost and confused. Some ruddy bird called Errol. And I’d just like to say that aif it hadn’t been for you, Harry, and Ron, and Hermione, o’ course, I woulduh- I’d still be you-know-where, so I- I’d just like to say ‘Thanks.’"
Hagrid, Oh!
Harry, Now you’ve done it.
Harry, But she’s bored! If I could only let outonly let out for an hour or two.
Harry, But I haven’t had any messages from any of my friends… not one… all summer.
Harry," I’ll be in my bedroom, making no noise and pretending that I don’t exist."
Harry, Who are you?
Harry," Not to be to be rude or anything, but this isn’t a great time for me to have a house elf in my bedroom."
Harry, Why don’t you sit down?
Harry," Dobby, ssh! I’m sorry! I didn’t mean to offend you, or anything."
Harry, You can’t have met many decent wizards then.
Harry," Stop, Dobby!"
Harry," Dobby, shh!"
Harry," Dobby, please stop!"
Harry," Stop! Stop, Dobby. Please be quiet! Are you all right?"
Harry, Your family?
Harry, What terrible things? Who’s plotting them?
Harry, Ok– I- understand. You can’t- say.
Harry," Dobby! Dobby, put the lamp down."
Harry, Give me the lamp! Dobby stop!
Harry," Get in there, and keep quiet!"
Harry, I- I was just—
Harry, Sorry.
Harry," Yes, sir… See why I’ve got to go back? I don’t belong here. I belong in your world, at Hogwarts. It’s the only place I’ve got friends!"
Harry," Well, I expect they’ve… been- hang on- how do you know my friends haven’t been writing to me?"
Harry," Give me those, now!"
Harry," Dobby, get back here!"
Harry," Dobby, please, no!"
Harry, I can’t. Hogwarts is my home!
Harry, Ron! Fred. George. What are you all doing here?
Harry, Ahh- ahh!
Harry, Let go of me!
Harry, Get off!
Harry, I think it’s brilliant
Harry, Hello. W-what did I do?
Harry, Raids?
Harry," Oh, sorry sir. I’m Harry, sir, Harry Potter."
Harry," Oh, umm…"
Harry, Floo powder?
Harry, ‘Diaganilly.’
Harry," I’m fine, thank you. I- I was just…"
Harry, No! Please!
Harry, Hagrid!
Harry," I was lost, I— hang on. What were you doing down there, then?"
Harry," Well, it’s great to see you, too!"
Harry, I definitely need to remember that one.
Harry, Thank you. Bye.
