"left","right"
"SCRIMGEOUR","These are dark times, there is no denying."
"SCRIMGEOUR","Our world has, perhaps,"
"SCRIMGEOUR","faced no greater threat than it does today."
"SCRIMGEOUR","But I say this to our citizenry"
"SCRIMGEOUR","We, ever your servants..."
"SCRIMGEOUR","...will continue to defend your liberty..."
"SCRIMGEOUR","...and repel the forces"
"SCRIMGEOUR","that seek to take it from you."
"SCRIMGEOUR","Your Ministry remains..."
"SCRIMGEOUR","...strong."
"SCRIMGEOUR","[THUNDER RUMBLING]"
"SCRIMGEOUR","[RAINDROPS PATTERING]"
"MRS. GRANGER","Hermione. Tea's ready, darling."
"MRS. GRANGER","Coming, Mom."
"VERNON","Come on, Dudley, hurry up."
"VERNON","why we have to leave."
"VERNON","it's not safe for us here anymore."
"VERNON","Ron, tell your father"
"VERNON","supper's nearly ready."
"MR. GRANGER","Is this in Australia?"
"MRS. GRANGER","Looks wonderful, doesn't it?"
"MRS. GRANGER","kilometers along Australia's east coast."
"MRS. GRANGER","Obliviate."
"MRS. GRANGER","[CHATTERING]"
"VOLDEMORT","Severus."
"VOLDEMORT","I was beginning to worry"
"VOLDEMORT","you had lost your way."
"VOLDEMORT","Come, we've saved you a seat."
"VOLDEMORT","You bring news, I trust?"
"VOLDEMORT","It will happen Saturday next, at nightfall."
"YAXLEY","I've heard differently, my Lord."
"YAXLEY","Dawlish, the Auror,"
"YAXLEY","has let slip that the Potter boy..."
"YAXLEY","...will not be moved"
"YAXLEY","until the 30th of this month."
"YAXLEY","The day before he turns 17."
"YAXLEY","This is a false trail."
"YAXLEY","The Auror Office no longer plays any part"
"YAXLEY","in the protection of Harry Potter."
"YAXLEY","Those closest to him believe"
"YAXLEY","we have infiltrated the Ministry."
"YAXLEY","Well, they got that right, haven't they?"
"YAXLEY","[ALL LAUGH]"
"YAXLEY","What say you, Pius?"
"YAXLEY","One hears many things, my Lord."
"YAXLEY","Whether the truth is among them"
"YAXLEY","is not clear."
"YAXLEY","Heh. Spoken like a true politician."
"YAXLEY","You will, I think,"
"YAXLEY","prove most useful, Pius."
"YAXLEY","- Where will he be taken, the boy?"
"YAXLEY","Most likely the home of someone"
"YAXLEY","in the Order."
"YAXLEY","I'm told it's been given"
"YAXLEY","every manner of protection possible."
"YAXLEY","Once there,"
"YAXLEY","it will be impractical to attack him."
"YAXLEY","Ahem. My Lord."
"YAXLEY","I'd like to volunteer myself for this task."
"YAXLEY","I want to kill the boy."
"YAXLEY","[YELL IN DISTANCE]"
"YAXLEY","Wormtail!"
"YAXLEY","Have I not spoken to you"
"YAXLEY","about keeping our guest quiet?"
"YAXLEY","Yes, my Lord."
"YAXLEY","Right away, my Lord."
"YAXLEY","as I find your bloodlust, Bellatrix..."
"YAXLEY","...I must be the one to kill Harry Potter."
"YAXLEY","But I face an unfortunate complication."
"YAXLEY","That my wand and Potter's"
"YAXLEY","share the same core."
"YAXLEY","They are, in some ways, twins."
"YAXLEY","We can wound,"
"YAXLEY","but not fatally harm one another."
"YAXLEY","If I am to kill him..."
"YAXLEY","...I must do it with another's wand."
"YAXLEY","Come,"
"YAXLEY","surely one of you would like the honor?"
