character,book,text,House
Harry,chamber_of_secrets,"  ""You've forgotten the magic word,"" said Harry irritably.",Gryffindor
Harry,chamber_of_secrets," ""All right,"" said Harry, ""all right.",Gryffindor
Harry,chamber_of_secrets,"  ""I'll be in my bedroom, making no noise and pretending I'm not there,"" said Harry tonelessly.",Gryffindor
Harry,chamber_of_secrets," ""I'll be in my room, making no noise and pretending I'm not there,"" said Harry dully.",Gryffindor
Harry,chamber_of_secrets," ""Well done,"" said Harry.",Gryffindor
Harry,chamber_of_secrets,"  ""Better not let your mum hear you talking about my school,"" said Harry coolly.",Gryffindor
Harry,chamber_of_secrets," ""I'm trying to decide what would be the best spell to set it on fire,"" said Harry.",Gryffindor
Harry,chamber_of_secrets," ""Er - hello,"" said Harry nervously.",Gryffindor
Harry,chamber_of_secrets,"  ""Th-thank you,"" said Harry, edging along the wall and sinking into his desk chair, next to Hedwig, who was asleep in her large cage.",Gryffindor
Harry,chamber_of_secrets," ""Not that I'm not pleased to meet you,"" said Harry quickly, ""but, er, is there any particular reason you're here?""",Gryffindor
Harry,chamber_of_secrets,"  ""Sit down,"" said Harry politely, pointing at the bed.",Gryffindor
Harry,chamber_of_secrets," ""You can't have met many decent wizards,"" said Harry, trying to cheer him up.",Gryffindor
Harry,chamber_of_secrets,"  ""Sorry"" said Harry quickly.",Gryffindor
Harry,chamber_of_secrets," ""Well then, I can't think who else would have a chance of making horrible things happen at Hogwarts,"" said Harry.",Gryffindor
Harry,chamber_of_secrets," ""I expect they've just been - wait a minute,"" said Harry, frowning.",Gryffindor
Harry,chamber_of_secrets,"  ""No,"" said Harry angrily.",Gryffindor
Harry,chamber_of_secrets,"(""Just our nephew - very disturbed  meeting strangers upsets him, so we kept him upstairs	) He  shooed the shocked Masons back into the dining room, promised Harry he would flay him to within an inch of his life when the Ma sons had left, and handed him a mop.",Gryffindor
Harry,chamber_of_secrets," ""It's no good turning your beak up at it - that's all we've got,"" said Harry grimly.",Gryffindor
Harry,chamber_of_secrets,"He saw Dobby's face in the crowd and shouted out, asking for help, but Dobby called, ""Harry Potter is safe there, sir!""",Gryffindor
Harry,chamber_of_secrets,"THE BURROW  Ron.l"" breathed Harry, creeping to the window and pushing it up so they could talk through the bars.",Gryffindor
Ron,chamber_of_secrets,"  ""He works for the Ministry,"" said Ron.",Gryffindor
Harry,chamber_of_secrets,"""You know we're not supposed to do spells outside school -""  ""You should talk,"" said Harry, staring at the floating car.",Gryffindor
