"character","book","element_id","sentence_id","text"
"uncle","chamber_of_secrets",18,18,"  ""Nonsense, Petunia, I never went hungry when I was at Smeltings,"" said Uncle Vernon heartily."
"harry","chamber_of_secrets",18,22,"  ""You've forgotten the magic word,"" said Harry irritably."
"harry","chamber_of_secrets",18,32," ""All right,"" said Harry, ""all right."
"uncle","chamber_of_secrets",18,64," ""This could well be the day I make the biggest deal of my career, "" said Uncle Vernon."
"uncle","chamber_of_secrets",18,69," ""I think we should run through the schedule one more time,"" said Uncle Vernon."
"uncle","chamber_of_secrets",18,80," ""Excellent, Dudley,"" said Uncle Vernon."
"harry","chamber_of_secrets",18,83,"  ""I'll be in my bedroom, making no noise and pretending I'm not there,"" said Harry tonelessly."
"uncle","chamber_of_secrets",18,84," ""Exactly,"" said Uncle Vernon nastily."
"harry","chamber_of_secrets",18,93," ""I'll be in my room, making no noise and pretending I'm not there,"" said Harry dully."
"uncle","chamber_of_secrets",18,109," ""Too right, you will,"" said Uncle Vernon forcefully."
"harry","chamber_of_secrets",18,151," ""Well done,"" said Harry."
"dudley","chamber_of_secrets",18,153,"  ""Today's your birthday,"" sneered Dudley."
"harry","chamber_of_secrets",18,156,"  ""Better not let your mum hear you talking about my school,"" said Harry coolly."
"harry","chamber_of_secrets",18,160," ""I'm trying to decide what would be the best spell to set it on fire,"" said Harry."
"harry","chamber_of_secrets",19,8," ""Er - hello,"" said Harry nervously."
"harry","chamber_of_secrets",19,16,"  ""Th-thank you,"" said Harry, edging along the wall and sinking into his desk chair, next to Hedwig, who was asleep in her large cage."
"harry","chamber_of_secrets",19,27," ""Not that I'm not pleased to meet you,"" said Harry quickly, ""but, er, is there any particular reason you're here?"""
"dobby","chamber_of_secrets",19,28,"  ""Oh, yes, sir,"" said Dobby earnestly."
"harry","chamber_of_secrets",19,35,"  ""Sit down,"" said Harry politely, pointing at the bed."
"harry","chamber_of_secrets",19,49," ""You can't have met many decent wizards,"" said Harry, trying to cheer him up."
"dobby","chamber_of_secrets",19,96," ""I-Tarry Potter is humble and modest,"" said Dobby reverently, his orb- like eyes aglow."
"harry","chamber_of_secrets",19,101,"  ""Sorry"" said Harry quickly."
"dobby","chamber_of_secrets",19,122,"  ""No, no, no,"" squeaked Dobby, shaking his head so hard his ears flapped."
"dobby","chamber_of_secrets",19,129,"A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year,"" whispered Dobby, suddenly trembling all over."
