Book,Character,House,Text
Book_Order_Of_The_Phoenix,Book_Vernon,No Entry,Uncle Vernon snarled into Harry's ear.
Book_Order_Of_The_Phoenix,Book_Vernon,No Entry,"For a few seconds they struggled, Harry pulling at his uncle's sausage-like fingers with his left hand, his right maintaining a firm grip on his raised wand; then, as the pain in the top of Harry's head gave a particularly nasty throb, Uncle Vernon yelped and released Harry as though he had received an electric shock."
Book_Order_Of_The_Phoenix,Book_Petunia,No Entry,"  The Dursleys goggled at him for a few seconds, then Aunt Petunia said, 'You're a nasty little liar."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  Don't think about that, Harry told himself sternly for the hundredth time that summer."
Book_Order_Of_The_Phoenix,Book_Vernon,No Entry,"'The noble sport', as Uncle Vernon called it, had made Dudley even more formidable than he had seemed to Harry in their primary school days when he had served as Dudley's first punchball."
Book_Order_Of_The_Phoenix,Book_Dudley,No Entry,"  'You're not allowed,' Dudley said at once."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Don't ever talk about that again,' Harry snarled."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"Harry hissed, 'I'm trying to lis- '    But he fell silent."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"Harry groaned, wondering whether his spine was going to snap under Dudley's weight."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,    Harry decided not to waste his remaining breath on pointing out that he could barely walk under Dudley's bulk.
Book_Order_Of_The_Phoenix,Book_Petunia,No Entry,"Aunt Petunia said in a quavering voice, now sponging sick from the front of Dudley's leather jacket."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Right,' Harry said, 'I've changed my mind, I'm staying.'"
Book_Order_Of_The_Phoenix,Book_Son,#N/A,"  'Go on, son,' said Uncle Vernon, 'what did he do?'"
Book_Order_Of_The_Phoenix,Book_Dudley,No Entry,"  'Pointed his wand at me,' Dudley mumbled."
Book_Order_Of_The_Phoenix,Book_Dudley,No Entry,"  'All went dark,' Dudley said hoarsely, shuddering 'Everything dark."
Book_Order_Of_The_Phoenix,Book_Dudley,No Entry,"  'Yes,' Dudley whispered, still trembling."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"Ignoring Uncle Vernons ongoing rant about owls, and narrowing his eyes against a second cloud of dust as the most recent owl took off back up the chimney, Harry read Sirius's message."
Book_Order_Of_The_Phoenix,Book_Voldemort,Slytherin,"    'Lord Voldemort,' said Harry."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"that was the one who - '    'Murdered my parents, yes,' Harry said dully."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Yes,' Harry said, talking directly to Aunt Petunia now."
Book_Order_Of_The_Phoenix,Book_Remus,#N/A,"    'Yeah, I see what you mean, Remus,' said a bald black wizard standing furthest back - he had a deep, slow voice and wore a single gold hoop in his ear - 'he looks exactly like James.'"
Book_Order_Of_The_Phoenix,Book_Remus,#N/A,"  'And this is Nymphadora - '    'Don't call me Nymphadora, Remus,' said the young witch with a shudder, 'it's Tonks.'"
Book_Order_Of_The_Phoenix,Book_Nymphadora,#N/A,"  'So would you if your fool of a mother had called you Nymphadora,' muttered Tonks."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'No, I wouldn't mind,' Harry mumbled, turning away."
Book_Order_Of_The_Phoenix,Book_Lupin,Gryffindor,"Harry asked, but Lupin said quietly, 'In a minute.'"
Book_Order_Of_The_Phoenix,Book_Lupin,Gryffindor,"  'Get in quick, Harry,' Lupin whispered, 'but don't go far inside and don't touch anything.'"
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"    'Ron and Hermione will explain everything, dear, I've really got to dash,' Mrs Weasley whispered distractedly."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"When we heard - and that Ministry hearing - it's just outrageous, I've looked it all up, they can't expel you, they just can't, there's provision in the Decree for the Reasonable Restriction of Underage Sorcery for the use of magic in life-threatening situations - '    'Let him breathe, Hermione,' said Ron, grinning as he closed the door behind Harry."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Oh, yeah,' Harry said."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Well, I'm glad he left,' Harry said coldly 'II he hadn't, I wouldn't have done magic and Dumbledore would probably have left me at Privet Drive all summer.'"
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'He could still've kept me informed if he'd wanted to,' Harry said shortly."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Hello, Harry' said George, beaming at him."
Book_Order_Of_The_Phoenix,Book_Tonks,Hufflepuff,"  'Tonks told me how to find out,' said Ginny."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  At Harry's words, all the Weasleys and Hermione exchanged darkly significant looks."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'Whatever you do, don't mention Percy in front of Mum and Dad,' Ron told Harry in a tense voice."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"    'Because every time Percy's name's mentioned, Dad breaks whatever he's holding and Mum starts crying,' Fred said."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"  'Well, apparently Fudge has been storming round the Ministry checking that nobody's having any contact with Dumbledore,' said George."
Book_Order_Of_The_Phoenix,Book_Percy,Gryffindor,'Percy said the only evidence was your word and .
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"    'Oh, no, she's kept her promise - not that she's got any choice,' Hermione added with satisfaction."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"Don't I hey think I'd rather it'd never- '    'We know, Harry' said Ginny earnestly."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"he muttered, but Ron shook his head, and Hermione said quietly, 'We knew you'd be angry, Harry, we really don't blame you, but you've got to understand, we did try to persuade Dumbledore -    'Yeah, I know,' said Harry shortly."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'Snape never eats here,' Ron told Harry quietly."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"C'mon.'    'And don't forget to keep your voice down in the hall, Harry,' Hermione whispered."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'We're eating down in the kitchen,' Mrs Weasley whispered, meeting them at the bottom of the stairs."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Sit down, Harry' said Sirius."
Book_Order_Of_The_Phoenix,Book_Dung,#N/A,"  The meeting's over, Dung,' said Sirius, as they all sat down around him at the table."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'And if you want dinner before midnight I'll need a hand,' Mrs Weasley said to the room at large."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"    'Sirius,' said Mundungus, who did not appear to have paid any attention to the conversation, but had been closely examining an empty goblet."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'Boys,' Mr Weasley said, lifting the stew back into the middle of the table, 'your mother's right, you re supposed to show a sense f responsibility now you've come of age - '    'None of your brothers caused this sort of trouble!'"
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"  'It looks wonderful, Molly,' said Lupin, ladling stew on to a plate lor her and handing it across the table."
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"  'Beg pardon, Molly,' said Mundungus at once, wiping his eyes and winking at Harry."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"  'He's useful,' Sirius muttered."
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"  'Not just yet, Molly,' said Sirius, pushing away his empty plate and turning to look at Harry."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"'You haven't forgotten what Dumbledore said, I suppose?'"
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"  'I don't intend to tell him more than he needs to know, Molly,' said Sirius."
Book_Order_Of_The_Phoenix,Book_Molly,Gryffindor,"    'I'm perfectly clear who he is, thanks, Molly,' said Sirius coldly."
Book_Order_Of_The_Phoenix,Book_Son,#N/A,"I'll just say this: Dumbledore must have had his reasons for not wanting Harry to know too much, and speaking as someone who has Harry's best interests at heart -'    'He's not your son,' said Sirius quietly."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Molly, you're not the only person at this table who cares about Harry,' said Lupin sharply."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'I want to know what's been going on,' Harry said at once."
Book_Order_Of_The_Phoenix,Book_George,Gryffindor,"'I absolutely forbid - '    'Molly you can't stop Fred and George,' said Mr Weasley wearily."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Course I will,' Harry said."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"    'And the very last person he wanted alerted to his return the moment he got back was Dumbledore,' said Lupin."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Voldemort doesn't march up to people's houses and bang on their front doors, Harry,' said Sirius."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"    When Harry continued to look puzzled, Sirius said, 'Like a weapon."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'All right, Ron, Harry,' said Mrs Weasley on the second landing, pointing them into their bedroom."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"    ""Night,' Harry and Ron said to the twins."
Book_Order_Of_The_Phoenix,Book_Ron,Gryffindor,"  'We can't let them out to hunt every night,' Ron explained as he pulled on his maroon pyjamas."
Book_Order_Of_The_Phoenix,Book_Kreacher,No Entry,"    'Kreacher,' said Ron as he turned off the light."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,  The weapon Sirius mentioned?'
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"Each of them was also holding a large bottle of black liquid with a nozzle at the end    'Cover your faces and take a spray,' Mrs Weasley said to Harry and Ron the moment she saw them, pointing to two more boitles of black liquid standing on a spindle-legged table."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  'Kreachers really old, he probably couldn't manage - '    'You'd be surprised what Kreacher can manage when he wnnts to, Hermione,' said Sirius, who had just entered the room carrying a bloodstained bag of what appeared to be dead rats."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"    'Right you are, Sirius,' said Mrs Weasley."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Close the door, please, Harry,' said Mrs Weasley."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"  'Right-o,' Fred said brightly, spraying the Doxy quickly in the face so that it fainted, but the moment Mrs Weasley's back was turned he pocketed it with a wink."
Book_Order_Of_The_Phoenix,Book_George,Gryffindor,"  'We want to experiment with Doxy venom for our Skiving Snackboxes,' George told Harry under his breath."
Book_Order_Of_The_Phoenix,Book_George,Gryffindor,"    'Range of sweets to make you ill,' George whispered, keeping a wary eye on Mrs Weasley's back."
Book_Order_Of_The_Phoenix,Book_Fred,Gryffindor,"  'Mundungus is talking to Sirius and Kingsley,' Fred muttered, frowning with concentration."
Book_Order_Of_The_Phoenix,Book_Kreacher,No Entry,"    'Hello, Kreacher,' said Fred very loudly, closing the door with a snap."
Book_Order_Of_The_Phoenix,Book_Kreacher,No Entry,"    'Kreacher said nothing,' said the elf, with a second box to George, adding in a clear undertone, 'and there its twin, unnataral little beasts they are.'"
Book_Order_Of_The_Phoenix,Book_Kreacher,No Entry,"    This is Harry, Kreacher,' said Hermione tentatively."
Book_Order_Of_The_Phoenix,Book_Hermione,Gryffindor,"  'It doesn't matter,' Hermione whispered, 'he's not in his tight mind, he doesn't know what he's - '    'Don't kid yourself, Hermione, he knows exactly what he's saying,' said Fred, eyeing Kreacher with great dislike."
Book_Order_Of_The_Phoenix,Book_Kreacher,No Entry,"Kreacher can see the scar, it must be true, that's the boy who stopped the Dark Lord, Kreacher wonders how he did it - '    'Don't we all, Kreacher,' said Fred."
Book_Order_Of_The_Phoenix,Book_Junior,Slytherin,"  'Bellatrix and her husband Rodolphus came in with Barty Crouch junior,' said Sirius, in the same brusque voice."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"    'Sorry,' said Harry quickly, 'I didn't mean - I was just surprised, that's all - '    'It doesn't matter, don't apologise,' Sirius mumbled."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"  'It's ideal for Headquarters, of course; Sirius said."
Book_Order_Of_The_Phoenix,Book_Sirius,Gryffindor,"  'Don't worry,' Sirius said."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'Hurry up, you two, or there won't be any food left,' Mrs Weasley called."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'M - m - morning, Harry,' yawned Tonks."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'It'll all be over soon,' Mr Weasley said bracingly."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'Amelia Bones is OK, Harry,' said Tonks earnestly."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'You'll be all right, Harry,' said Tonks, palling him on the arm."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Mr Weasley, I think this might be out of order, too,' Harry said."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Over here, Harry,' said Mr Weasley, and they stepped out of the stream of Ministry employees heading for the golden gates."
Book_Order_Of_The_Phoenix,Book_Eric,#N/A,"  Thank you, Eric,' said Mr Weasley firmly, and grasping Harry by the shoulder he steered him away from the desk and back into the stream of wizards and witches walking through the golden gates."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'Just inter-departmental memos,' Mr Weasley muttered to him."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"    'This is us, Harry,' said Mr Weasley, and they followed the witch out of the lift into a corridor lined with doors."
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"    'Mr Weasley,' said Harry, as they passed a window through which sunlight was streaming, 'aren't we still underground?'"
Book_Order_Of_The_Phoenix,Book_Weasley,Gryffindor,"  'Morning, Weasley,' said Kingsley carelessly, as they drew nearer."
Book_Order_Of_The_Phoenix,Book_Harry,Gryffindor,"  'Quick, Harry,' said Mr Weasley as the lift doors rattled open, and they sped up a corridor that was quite different from those above."
Book_Order_Of_The_Phoenix,Book_August,#N/A,"  'Disciplinary hearing of the twelfth of August,' said Fudge in a ringing voice, and Percy began taking notes at once, 'into offences committed under the Decree for the Reasonable Restriction of Underage Sorcery and the International Statute of Secrecy by Harry-James Potter, resident at number four, Privet Drive, Little Whinging, Surrey."
Book_Order_Of_The_Phoenix,Book_Dumbledore,Gryffindor,"Court Scribe, Percy Ignatius Weasley - '    'Witness for the defence, Albus Percival Wulfric Brian Dumbledore,' said a quiet voice from behind Harry, who turned his head so fast he cricked his neck."
