Ron Weasley,Bloody hell!,
Ron Weasley,"Sunshine, daisies, butter mellow... turn this stupid, fat rat yellow!",
Ron Weasley,Wingardium Leviosar.,
Ron Weasley,She needs to sort out her priorities.,
Hermoine Granger,Oculus Reparo.,
Hermoine Granger,"[deleted scene] He's rather disagreeable, isn't he?",
Hermoine Granger,"I'm going to bed before either of you come up with another clever idea to get us all killed. Or worse, expelled.",
Draco Malfoy,"You'll soon find out that some wizarding families are better than others, Potter. You don't want to go making friends with the wrong sort. I can help you there.",
Dumbledore,"It does not do to dwell on dreams, and forget to live.",
Dumbledore,"What happened down in the dungeon between you and Professor Quirrell is a complete secret. So, naturally, the whole school knows.",
Dumbledore,"Only a person who wanted to find the Stone - find it, but not use it – would be able to get it. That is one of my more brilliant ideas. And between you and me, that is saying something.",
Dumbledore,"It takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends.",
Severus Snape,"There will be no foolish wand-waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making. However, for those select few who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory, and even put a stopper in death. Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention. Mr. Potter. Our new celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood? You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar?...And what is the difference between monkshood and wolfsbane?...Pity. Clearly, fame isn't everything, is it, Mr. Potter?",
Severus Snape,"You don't want me as your enemy, Quirrell... We'll have another little chat soon, when you've had time to decide where your loyalties lie.",
Dumbledore, [to the cat] I should have known that you would be here... Professor McGonagall.,
McGonagall," Good evening, Professor Dumbledore. Are the rumours true, Albus?",
Dumbledore," I'm afraid so, Professor. The good and the bad.",
McGonagall, And the boy?,
Dumbledore, Hagrid is bringing him.,
McGonagall, Do you think it wise to trust Hagrid with something as important as this?,
Dumbledore," Ah, Professor. I would trust Hagrid with my life.",
Hagrid," Professor Dumbledore, sir. Professor McGonagall.",
Dumbledore," No problems, I trust, Hagrid?",
Hagrid," No, sir. Little tyke fell asleep just as we were flying over Bristol. [hands Dumbledore a bundle – Harry] Try not to wake him. There you go.",
McGonagall," Albus, do you really think it's safe, leaving him with these people? I've watched them all day, they're the worst sort of... Muggles imaginable. They really are–",
Dumbledore, The only family he has.,
McGonagall, This boy will be famous! There won't be a child in our world that doesn't know his name!,
Dumbledore," Exactly. He's far better off growing up away from all of that... until he is ready. [Dumbledore places Harry on the doorstep. Hagrid snivels.] There, there, Hagrid. It's not really goodbye, after all. [Hagrid nods. Dumbledore places a letter on Harry.] Good luck... Harry Potter.",
Dudley, [about his gifts] How many are there?,
Uncle Vernon," 36, counted them myself.",
Dudley," 36?! But last year, last year I had 37!",
Uncle Vernon," I mean– Yes, yes. Well, some are a quite a bit bigger than last year's –",
Dudley, I don't care how big they are!,
Uncle Vernon," Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",
Harry, [when Dudley doesn't answer] Because there’s no post on Sundays?,
Uncle Vernon," Right you are, Harry! [takes cookie from Harry] Right you are. No post on Sundays. Hah!",
Harry, Excuse me. Who are you?,
Hagrid," Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts. Of course, you know all about Hogwarts.",
Harry," Sorry, no.",
Hagrid," No? Blimey, Harry, did you ever wonder where your Mum and Dad learned it all?",
Harry, Learnt what?,
Hagrid," You're a wizard, Harry.",
Harry, I– I'm a what?,
Hagrid," A wizard! And a thumpin' good 'un, I'll wager, once you've been trained up a bit.",
Harry," I think you've made a mistake. I mean, I... can't be a... a wizard. I mean, I'm... just... Harry. Just Harry.",
Hagrid," Well, ""Just Harry""... did you ever make anything happen? Anything you couldn't explain when you were angry or scared?",
Harry," [to the Dursleys; angrily after Vernon refuses Harry's entrance to Hogwarts because they swore when they took him in to ""put a stop to all this rubbish""] You knew? You knew all along, and you never told me?!",
Aunt Petunia," [bitterly] Of course we knew. How could you not be? My perfect sister being what she was. My mother and father were so proud the day she got her letter. ""We have a witch in the family. Isn't it wonderful?"" I was the only one who saw her for what she was"," a freak! And then she met that Potter, and she had you, and I knew you'd be the same. Just as strange, just as... abnormal. And then, if you please, she went and got herself blown up, and we got landed with you."
Harry," ""Blown up""? You told me my parents died in a car crash!",
Hagrid, [shocked and angry] A car crash?! A car crash kill Lily and James Potter?!,
Aunt Petunia, [sheepishly] We had to say something...,
Hagrid, It's an outrage! It's a scandal!,
Uncle Vernon, He will not be going!,
Hagrid," [somewhat amused] Oh, and I suppose a great Muggle like yourself's gonna stop him, are ya?",
Harry," ""Muggle""?",
Hagrid," Non-magic folk. [to the Dursleys, angrily] This boy's had his name down ever since he was born! He's going to the finest school of Witchcraft and Wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen"," Albus Dumbledore. [In the meantime, Hagrid is unaware of Dudley stealing the cake he made for Harry]"
Uncle Vernon, I will not pay to have some crackpot old fool teach him magic tricks!,
Hagrid, Never... insult Albus Dumbledore... in front of me.,
Ollivander, Curious... Very curious...,
Harry, Sorry... but what's curious?,
Ollivander," I remember every wand I've ever sold, Mr Potter. Every single wand. And it just so happens that the phoenix, whose tail feather resides in your wand, gave another feather. Just one other. It is curious that you should be destined for this wand, when its brother gave you that scar.",
Harry, ....And who owned that wand?,
Ollivander," We do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why. But. I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things. Terrible, yes... but great.",
Harry," He killed my parents, didn't he? The one who gave me this. [points to his scar. Hagrid looks hesitant to respond] You know, Hagrid, I know you do.",
Hagrid," [sighs and leans towards him] First – and understand this, Harry, 'cause it's very important – not all wizards are good. Some of them go bad. And a few years ago, there was one wizard who went as bad as you can go. And his name was V– [becomes tense] His name was V–",
Harry, Maybe if you wrote it down?,
Hagrid," Nah, I can't spell it. All right... [in a whisper] Voldemort.",
Harry, Voldemort?,
Hagrid," [frantically] Shh! It was dark times, Harry, dark times. [As Hagrid narrates, we see a flashback of a robed, hooded figure - Voldemort - breaking into Harry's parents' home and striking his mother dead; it ends just as Voldemort aims his wand at baby Harry] Voldemort started to gather some followers; brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em. Nobody. Not one. Except you.",
Harry, Me? Voldemort tried to kill... me?,
Hagrid," Yes. That ain't no ordinary cut on yer forehead. A mark like that only comes from bein' touched by a curse, and an evil curse at that.",
Harry, And what happened to Vol– To You-Know-Who?,
Hagrid," Well, some say he died. Codswallop in my opinion. Nope, I reckon he's still out there somewhere, too tired to carry on. But one thing's fer certain", Somethin' about you stumped him that night. That's why you're famous. That's why everyone knows your name. You're the Boy Who Lived.
Hermione, Has anyone seen a toad? A boy named Neville has lost one.,
Ron, No.,
Hermione," [sees Ron attempting magic] Oh, are you doing magic? Let's see then.",
Ron," [clears throat] Sunshine, daisies, butter mellow... turn this stupid, fat rat yellow!",
Hermione," Are you sure that's a real spell? Well, it's not very good is it? [Ron gives Harry an indignant and exasperated look] Of course, I've only tried a few simple ones myself, but they've all worked for me. For example, [sits in front of Harry] Oculus Reparo.",
Ron," [muffled] Um, Ron Weasley.",
Hermione," [chagrined] Pleasure. You two best change into robes, I expect we'll be arriving soon. [leaves, but turns around to face Ron] You've got dirt on your nose, by the way. Did you know? Just there.",
Draco Malfoy," So it's true, then. What they're saying on the train. Harry Potter has come to Hogwarts. [All the first years murmur in excitement; Draco indicates two boys next to him] This is Crabbe, and Goyle. And I'm Malfoy. Draco Malfoy. [Ron sniggers; Draco turns to glare at him] Think my name's funny, do you? No need to ask yours. Red hair, and a hand-me-down-robe? You must be a Weasley. [turns back to Harry] You'll soon find out some wizarding families are better than others, Potter. You don't want to go making friends with the wrong sort. I can help you there. [offers his hand]",
Harry," [coldly] I think I can tell the wrong sort for myself, thanks.",
Ron, Fred and George are on the team too. Beaters.,
Fred," Our job is to make sure that you don't get bloodied up too badly! Can't make any promises. Rough game, Quidditch.",
George, Brutal! But no one's died in years. Someone will vanish occasionally (Harry and Ron walk off) but they'll turn up in a month or two!,
Ron, What do they think they're doing? Keeping a thing like that locked up in a school?,
Hermione," You don't use your eyes, do you? Didn't you see what it was standing on?",
Ron, I wasn't looking at its feet! I was a bit preoccupied with its heads. Or maybe you didn't notice. They were three!,
Hermione," It was standing on a trapdoor. Which means, it wasn't there by accident. It's guarding something.",
Harry, Guarding something?,
Hermione," That's right. Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed. Or worse, expelled. [Goes into her dormitory]",
Ron, She needs to sort out her priorities.,
Oliver," [Leading Harry to practice, carrying a trunk] Quidditch is easy enough to understand. Each team has seven players"," Three Chasers, two Beaters, one Keeper, and a Seeker. That's you. [Opens trunk and takes a round ball with four indents in it out] There are three kinds of balls. [Tosses it to Harry] This one's called the Quaffle. The Chasers handle the Quaffle and try to put it through one of those three hoops. [Points to three hoops on opposite end of field.] The Keeper, that's me, defends the hoops. With me so far?"
Harry, I think so. [Tosses Quaffle back to Oliver] What are those? [Acknowledges two other balls],
Oliver," Oh. [Takes out a bat, a little shorter that a baseball bat] You better take this. [Hands bat to Harry, then unlatches one of the balls from trunk. It shoots up into the air, then zooms back down] Careful now, it's comin' back. [Harry whacks the ball with the bat. The ball zooms off in another direction right though the gap of a statue that has crossed swords] Not bad, Potter. You'd make a fair Beater. [The ball comes back heading directly for Oliver] Uh-oh. [It whacks him in the chest, knocking him over. He fights with it to get it back in the trunk. He eventually succeeds, and locks it back in]",
Harry, What was that thing?,
Oliver, [Panting] Bludger. Nasty little buggers. But you... [Points to Harry]...are a Seeker. [Takes out walnut-sized gold ball with silver wings] The only thing I want you to worry about is this. The Golden Snitch. [Hands it to Harry],
Harry, I like this ball.,
Oliver," Ah, you like it now. Just wait. It's wicked fast and damn near impossible to see.",
Harry, What do I do with it?,
Oliver," You catch it... before the other team's Seeker. You catch this, the game's over. You catch this, Potter, and we win.",
Hagrid, Nonsense! Why would Snape put a curse on Harry's broom?,
Harry, Who knows? Why was he trying to get past that three-headed dog on Hallowe'en?,
Hagrid, Who told you about Fluffy?,
Ron," ""Fluffy""?!",
Hermione, That thing has a name?,
Hagrid," Of course, he's got a name! He's mine! I bought him off an Irish feller I met down at the pub last year. The I lent him to Dumbledore to guard the–",
Harry, Yes?,
Hagrid," Shouldn't have said that. No more questions! Don't ask any more questions. That's top-secret, that is.",
Harry," But, Hagrid, whatever Fluffy's guarding, Snape's trying to steal it.",
Hagrid, Codswallop! Professor Snape is a Hogwarts teacher!,
Hermione," Hogwarts teacher or not, I know a spell when I see one. I've read all about them. You've got to keep eye contact and Snape wasn't blinking.",
Harry, Exactly.,
Hagrid," Ron, Hermione, you'll come with me.",
Ron," [In a timid, high voice] Okay.",
Hagrid," And Harry, you'll go with Malfoy.",
Malfoy," Okay, then I get Fang.",
Hagrid," Fine. Just so you know, he's a bloody coward.",
Snape," Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?",
Hermione," We... [Snape looks to her, expecting an answer]...we were just...",
Snape, You ought to be more careful. People may think you're...[Snape notices Harry eyeing him cautiously. He glares sharply at Harry]...up to something.,
Harry," You? No, it can't– it can't be. Snape, he was– he was the one who–",
Quirrell," Yes. He does seem the type, doesn't he? But next to him, who would suspect p-p-p-poor st-st-st-stuttering Professor Quirrell?",
Harry," But that day, during the Quidditch match, Snape tried to kill me.",
Quirrell," No, dear boy. I tried to kill you! And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded! Even with Snape muttering his little counter-curse.",
