Character,Dialogue
Albus," Ah, Professor, I would trust Hagrid with my life."
Draco," It's true then, what they're saying on the train. Harry Potter has come to Hogwarts. {Students whisper, Harry Potter?} This is Crabbe, and Goyle {nods to thugs} and I'm Malfoy...Draco Malfoy. {Ron snickers at his name} Think my name's funny, do you? No need to ask yours. Red hair, and a hand me down robe? You must be a Weasley. Well soon find that some wizarding families are better than others, Potter. Dont want to go making friends with the wrong sort. I can help you there. {extends hand.}"
Draco, Up! {broomstick flies up and Draco smugly grins.}
Draco," {snickers} Did you see his face? Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat ass. {Laughs.}"
Draco," No. I think I'll leave it somewhere for Longbottom to find. {hops on broom and soars around group, then through.} How 'bout up on the roof?? {soars off and hovers high in the sky.} What's the matter, Potter? Bit beyond your reach?"
Draco," Is that so? {Harry makes a dash for him, but Draco twirls around his broom in a 360.} Have it your way, then! {He throws the Remembrall into the air.}"
Draco, Wingardium Levio-saaa.
Draco, No!
Draco," Excuse me, Professor. Perhaps I heard you wrong. I thought you said...""the four of us."""
Draco, The forest? I thought that was a joke! We can't go in there. Students aren't allowed. And there are...{a howl sounds}...werewolves!
Draco, Okay. Then I get Fang!
Draco, You wait till my father hears about this. This is servant's stuff.
Draco," Scared, Potter?! {Scoffs} {howl} Did you hear that? Come on, Fang. Scared."
Draco," {A look of pure fear} AHHHHHHHHH!!! AHHH! {runs away, with Fang} HELP!!!!!"
Draco," Nice one, Mate! {sees Ron looking at him and sneers.}"
Dudley," Wake up, cousin! We're going to the zoo!"
Dudley, How many are there?
Dudley, Thirty-six?! But last year last year I got thirty-seven!!
Dudley, I don't care how big they are!
Dudley, Make it move.
Dudley, MOVE!
Dudley, He's boring.
Dudley," Mummy, dad, come here! You won't believe what this snake is doing!!"
Dudley, Whoa! Ahh! Ahh!!
Dudley," Mum, mummy!"
Dudley," Mum, help! Help me!"
Dudley," {Sees Harrys letter. He runs and grabs it} Dad, look! Harry's got a letter!!"
Dudley, AHH! Make it stop! Please make it stop! {He jumps on Petunias lap}
Dudley, What is it? Please tell me what's happening!
Dudley," Daddy's gone mad, hasnt he?!"
Dudley, I-I-I'm not Harry.
Dudley, {whimpers}
Dudley, Ahh!
Dumbledore, I should have known that you would be here...Professor McGonagall.
Dumbledore," I'm afraid so, Professor. The good, and the bad."
Dumbledore, Hagrid is bringing him.
Dumbledore," No problems, I trust, Hagrid?"
Dumbledore, The only family he has.
Dumbledore, Exactly. He's better off growing up away from all that. Until he is ready.
Dumbledore," There, there, Hagrid. It's not really good-bye, after all."
Dumbledore, Good luck...Harry Potter.
Dumbledore," I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch {signals to ragged old man with a cat with red eyes} has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you."
Dumbledore, Let the feast...begin.
Dumbledore," SILLLLLEEENNNNCEEEEE! {Everyone stops.} Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons."
Dumbledore," Back again, Harry? {Harry turns around and stands up.} I see that you, like so many before you, have discovered the delights of the Mirror of Erised. I trust by now you realize what it does. Let me give you a clue. The happiest man on earth would look into the mirror and see only himself, exactly as he is."
Dumbledore," Yes...and no. It shows us nothing more or less than the deepest, most desperate desires of our hearts. Now you, who have never known your family, you see them standing beside you. But remember this, Harry. This mirror gives us neither knowledge or truth. Men have wasted away in front of it, even gone mad. That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again. It does not do to dwell on dreams, Harry, and forget to live. {Harry looks back at the mirror.}"
Dumbledore," Good afternoon, Harry. Ah. Tokens from your admirers?"
Dumbledore," What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. {Both smile.} Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
Dumbledore, Fine. They're both just fine.
Dumbledore," Relax, dear boy. The stone has been destroyed. My friend Nicholas and I had a little chat and agreed it was best all around."
Dumbledore," {sits on the bed.} He has enough Elixir to set his affairs in order. But yes, he will die."
Dumbledore," Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. That is one of my more brilliant ideas. And between you and me thats saying something. {Smile both.}"
Dumbledore," Ah, I'm afraid there are ways in which he can return. Harry, do you know why Professor Quirrell couldn't bear to have you touch him? {Harry shakes his head.} It was because of your mother. She sacrificed herself for you, and that kind of act leaves a mark. {Harry touches his scar.} No, no, this kind of mark cannot be seen. It lives in your very skin."
Dumbledore," Love, Harry, love. {Pats Harry's head and stands up.} Ah. Bertie Bott's Every Flavour Beans. I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. But I think I could be safe with a nice toffee...{takes brown bean and eats it.} Mm. Alas. Earwax."
Dumbledore," Another year gone. And now, as I understand it, the house cup needs awarding, and the points stand thus. In fourth place, Gryffindor with 312 points. {Clapping. Harry and Hermione hide their heads.} Third place, Hufflepuff, with 352 points. {Clapping.} In second place, Ravenclaw, with 426 points. {Clapping.} And in first place, with 472 points, Slytherin House."
Dumbledore," Yes, yes, well done Slytherin, well done Slytherin. However, recent events must be taken into account. And I have a few last minute points to award. {The Gryffindor students look up.} To Miss Hermione Granger, for the use of cool intellect when others were in great peril, 50 points. {Applause.}"
Dumbledore," Second, to Mr. Ronald Weasley, for the best played game of chess {Ron looks at Harry and mouths, 'Me?' Harry nods, and mouths, 'You!'} that Hogwarts has seen these many years...50 points. {Applause} And third, to Mr. Harry Potter, for pure nerve and outstanding courage, I award Gryffindor house 60 points. {Immense cheering.}"
Dumbledore," And finally, it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. I award 10 points to Neville Longbottom."
Dumbledore," Assuming that my calculations are correct, I believe that a change of direction is in order. {Claps. The green banners change to Gryffindor red and yellow.} Gryffindor wins the House Cup!"
