Obs,House,Character,Dialogue
1,Gryffindor,Aberforth Dumbledore," Bloody fools, what were you thinking coming here? Have you any idea of how dangerous it is?"
2,Gryffindor,Aberforth Dumbledore, Where have you left him?
3,Gryffindor,Aberforth Dumbledore, Sorry to hear it. I liked that elf.
4,Gryffindor,Aberforth Dumbledore, Mundungus Fletcher. About a year ago.
5,Gryffindor,Aberforth Dumbledore," Sirius. Albus told me. He also told me you'd likely be hacked off if you ever found out that I had it, but ask yourself"
6,Gryffindor,Aberforth Dumbledore, The Order's finished. You-Know-Who's won. Anyone who says otherwise is kidding themselves.
7,Gryffindor,Aberforth Dumbledore, Did he now? Nice job? Easy?
8,Gryffindor,Aberforth Dumbledore," It's not a job my brother's given you. It's a suicide mission. Do yourself a favor, boy, and go home. Live a little longer."
9,Gryffindor,Aberforth Dumbledore," What makes you think you can trust him? What makes you think you can believe anything my brother told you? In all the time you knew him, did he ever mention my name? Did he ever mention hers? [referring to the portrait of Ariana on the wall]"
10,Gryffindor,Aberforth Dumbledore," ...Keep secrets, you tell me?"
11,Gryffindor,Aberforth Dumbledore," That's a boy's answer. A boy who goes chasing Horcruxes on the word of a man who wouldn't even tell you where to start. You're lying! Not just to me, it doesn't matter, but to yourself as well. That's what a fool does. You don't strike me as a fool, Harry Potter. So, I'll ask you again, there must be a reason."
12,Gryffindor,Aberforth Dumbledore, [motions toward Ariana’s portrait] You know what to do.
13,Slytherin,Alastor,I'm sorry Albus. 
14,Slytherin,Alastor Moody," [to Dumbledore] Yeah, he took a piece of me with him, though, didn't he?"
15,Gryffindor,Albus," Ah, Professor, I would trust Hagrid with my life."
16,Gryffindor,Albus," Ah, Professor, I would trust Hagrid with my life."
17,Gryffindor,Albus Dumbledore," Oh, yes."
18,Gryffindor,Albus Dumbledore, [after exchanging a look with Harry] Voldemort.
19,Gryffindor,Albus Dumbledore," Only this time, he chose to act through somebody else... by means of this. [He reveals Tom Riddle's diary – which Lucius had slipped into Ginny's cauldron. Dobby tugs Harry's sleeve uneasily and looks over at Lucius.]"
20,Gryffindor,Albus Dumbledore,It is not our abilities that show us what we truly are. It is our choices.
21,Gryffindor,Albus Dumbledore,"In light of recent events, as a school treat... all exams have been cancelled!"
22,Gryffindor,Albus Dumbledore, Quiet! I can't think!
23,Gryffindor,Albus Dumbledore, How long?
24,Gryffindor,Albus Dumbledore," Don't ignore me, Severus. We both know Lord Voldemort has ordered the Malfoy boy to murder me. But should he fail, one should presume that the Dark Lord would turn to you. You must be the one to kill me, Severus. It is the only way. Only then will the Dark Lord trust you completely. [We see Dumbledore being killed by Snape, as shown in Half-Blood Prince] There will come a time when Harry Potter must be told something, but you must wait until Lord Voldemort is at his most vulnerable."
25,Gryffindor,Albus Dumbledore," On the night Lord Voldemort went to Godric's Hollow to kill Harry, and Lily Potter cast herself between them, the curse rebounded. When that happened, a part of Voldemort's soul latched itself onto the only living thing that it could find"
26,Gryffindor,Albus Dumbledore," Yes, yes, he must die."
27,Gryffindor,Albus Dumbledore," Don't tell me now that you've grown to care for the boy. [Snape casts a deer Patronus, the same one that helped Harry find the Sword of Gryffindor in Part 1] Lily? [A crying Snape is shown holding Lily's body] After all this time?"
