"left","right"
"BOY","Lumos Maxima."
"BOY","Lumos Maxima."
"HARRY","Lumos Maxima."
"HARRY","Lumos Maxima."
"HARRY","Lumos Maxima!"
"WOMAN","Harry. Harry."
"WOMAN","Harry, open the door."
"WOMAN","Uh...."
"WOMAN","Marge. How lovely to see--"
"WOMAN","Uncle Vernon,"
"WOMAN","I need you to sign this form."
"WOMAN","What is it?"
"WOMAN","Nothing. School stuff."
"WOMAN","Later perhaps, if you behave."
"WOMAN","I will if she does."
"WOMAN","-Oh, you're still here, are you?"
"WOMAN","-Yes."
"WOMAN","Don't say yes"
"WOMAN","in that ungrateful way."
"WOMAN","Damn good of my brother"
"WOMAN","to keep you."
"WOMAN","He'd have been straight to an orphanage"
"WOMAN","if he'd been dumped on my doorstep."
"WOMAN","Is that my Dudders?"
"WOMAN","Is that my little neffy-pooh?"
"WOMAN","Give us a kiss. Come on. Up, up."
"VERNON","Take Marge's suitcase upstairs."
"VERNON","Okay."
"VERNON","Good boy, Rippy-pooh."
"VERNON","Excellent nosh, Petunia."
"VERNON","A bit more."
"VERNON","Usually just a fry-up for me,"
"VERNON","what with 1 2 dogs."
"VERNON","Just a bit more. That's a boy."
"VERNON","Ah! You wanna try"
"VERNON","a little drop of brandy?"
"VERNON","A little drop of brandy-brandy"
"VERNON","windy-wandy for Rippy-pippy-pooh?"
"VERNON","What are you smirking at?"
"VERNON","Where did you send the boy,"
"VERNON","Vernon?"
"VERNON","St. Brutus'. It's a fine institution"
"VERNON","for hopeless cases."
"VERNON","Do they use a cane"
"VERNON","at St. Brutus', boy?"
"VERNON","Oh, yeah."
"VERNON","Yeah. l've been beaten loads of times."
"VERNON","namby-pamby..."
"VERNON","...wishy-washy nonsense about"
"VERNON","not beating people who deserve it."
"VERNON","You mustn't blame yourself"
"VERNON","about how this one turned out."
"VERNON","It's all to do with blood."
"VERNON","Bad blood will out."
"VERNON","What is it the boy's father did,"
"VERNON","Petunia?"
"VERNON","He was unemployed."
"VERNON","-And a drunk too, no doubt?"
"VERNON","-That's a lie."
"VERNON","-What did you say?"
"VERNON","-My dad wasn't a drunk."
"VERNON","Don't worry. Don't fuss, Petunia."
"VERNON","I have a very firm grip."
"VERNON","I think it's time you went to bed."
"VERNON","Quiet, Vernon. You, clean it up."
"VERNON","Actually, it's nothing to do"
"VERNON","with the father."
"VERNON","It's all to do with the mother."
"VERNON","You see it all the time with dogs."
"VERNON","If something's wrong with the bitch,"
"VERNON","then something's wrong with the pup."
"VERNON","Shut up! Shut up!"
"VERNON","Right. Let me tell you...."
"VERNON","Oh...."
"MARGE","Vernon!"
"MARGE","Vernon! Vernon, do something!"
"MARGE","Ow! Ripper! Ow...."
"MARGE","Stop!"
"MARGE","I've got you, Marge. I've got you."
"MARGE","-Don't you dare!"
"MARGE","Oh, Vernon."
"MARGE","Oh, God."
"MARGE","Marge!"
"VERNON","Please!"
"VERNON","Marge!"
"VERNON","Come back!"
"VERNON","You bring her back!"
"VERNON","You bring her back now."
"VERNON","-You put her right!"
"VERNON","-No. She deserved What She got."
"VERNON","-Keep away from me."
"VERNON","-You can't do magic outside school."
"VERNON","-Yeah? Try me."
"VERNON","-They won't let you back now."
"VERNON","You've nowhere to go."
"VERNON","I don't care."
"VERNON","Anywhere is better than here."
"VERNON","What you doing down there?"
"VERNON","-l fell over."
"VERNON","-What you fall over for?"
"VERNON","-l didn't do it on purpose."
"VERNON","-Well, come on, then."
"VERNON","Let's not wait for the grass to grow."
"VERNON","-What you looking at?"
"VERNON","-Nothing."
"VERNON","Well, come on, then. ln."
"VERNON","No, no, no. I'll get this."
"VERNON","You get in."
"VERNON","Come on."
"SHUNPIKE","Come on. Move on, move on."
"SHUNPIKE","-Yeah, take it away, Ernie."
"SHUNPIKE","It's going to be a bumpy ride."
"SHUNPIKE","-What did you say your name was?"
"SHUNPIKE","-l didn't."
"SHUNPIKE","-Whereabouts are you headed?"
"SHUNPIKE","-The Leaky Cauldron. That's in London."
"SHUNPIKE","You hear that? ""The Leaky Cauldron."
"SHUNPIKE","That's in London."""
"SHUNPIKE","The Leaky Cauldron."
"SHUNPIKE","If you have pea soup..."
"SHUNPIKE","...make sure you eat it"
"SHUNPIKE","before it eats you."
"SHUNPIKE","They don't see nothing, do they?"
"SHRUNKEN HEAD","If you jab them with a fork, they feel."
"SHRUNKEN HEAD","Ernie, little old lady at 12 o'clock!"
"SHRUNKEN HEAD","Ten, nine, eight..."
"SHRUNKEN HEAD","...seven, six, five..."
"SHRUNKEN HEAD","...four, three, three and a half..."
"SHRUNKEN HEAD","...two, one and three quarters."
"SHRUNKEN HEAD","Yes!"
"SHRUNKEN HEAD","Who is that? That man."
"SHRUNKEN HEAD","Who is that?"
"SHRUNKEN HEAD","Who is--?"
"SHRUNKEN HEAD","That is Sirius Black, that is."
"SHRUNKEN HEAD","Don't tell me you've never"
"SHRUNKEN HEAD","been hearing of Sirius Black."
"SHRUNKEN HEAD","He's a murderer."
"SHRUNKEN HEAD","Got himself locked up"
"SHRUNKEN HEAD","in Azkaban for it."
"SHRUNKEN HEAD","-How did he escape?"
"SHRUNKEN HEAD","-Well, that's the question, isn't it?"
"SHRUNKEN HEAD","He's the first one that done it."
"SHRUNKEN HEAD","He was a big supporter of..."
"SHRUNKEN HEAD","...You-Know-Who."
"SHRUNKEN HEAD","I reckon you've heard of him."
"SHRUNKEN HEAD","Yeah."
"SHRUNKEN HEAD","Him I've heard of."
"SHRUNKEN HEAD","Ernie, two double-deckers"
"SHRUNKEN HEAD","at 12 o'clock."
"SHRUNKEN HEAD","They're getting closer, Ernie."
"SHRUNKEN HEAD","Ernie, they're right on top of us!"
"SHRUNKEN HEAD","Mind your head."
"SHRUNKEN HEAD","Hey, guys? Guys?"
"SHRUNKEN HEAD","Why the long faces?"
"SHRUNKEN HEAD","Yeah, yeah. Nearly there. Nearly there."
"SHRUNKEN HEAD","The Leaky Cauldron."
"SHRUNKEN HEAD","Next stop, Knockturn Alley."
"SHRUNKEN HEAD","Ah. Mr. Potter, at last."
"TOM","Room 1 1 ."
"TOM","Hedwig."
"TOM","Right smart bird"
"TOM","you got there, Mr. Potter."
"TOM","He arrived here just"
"TOM","five minutes before yourself."
"TOM","it is my duty to inform you, Mr. Potter..."
"TOM","...earlier this evening"
"TOM","your uncle's sister was located..."
"TOM","...a little south of Sheffield,"
"TOM","circling a chimney stack."
"TOM","The Accidental Magic Reversal"
"TOM","Department was dispatched immediately."
"TOM","She has been properly punctured"
"TOM","and her memory modified."
"TOM","She will have no recollection"
"TOM","of the incident whatsoever."
"TOM","So that's that..."
"TOM","...and no harm done."
"FUDGE","Pea soup?"
"FUDGE","No, thank you."
"FUDGE","-Minister?"
"FUDGE","-Yes?"
"FUDGE","-l don't understand."
"FUDGE","-Understand?"
"FUDGE","I broke the law. Underage wizards"
"FUDGE","can't use magic at home."
"FUDGE","Come now. The Ministry"
"FUDGE","doesn't send people to Azkaban..."
"FUDGE","...for blowing up their aunts."
"FUDGE","On the other hand, running away"
"FUDGE","like that, given the state of things..."
"FUDGE","...was very, very irresponsible."
"FUDGE","-""The state of things,"" sir?"
"FUDGE","-We have a killer on The loose."
"FUDGE","Sirius Black, you mean?"
"FUDGE","But what's he got to do with me?"
"FUDGE","Nothing, of course. You're safe."
"FUDGE","And that's what matters."
"FUDGE","And tomorrow you'll be"
"FUDGE","on your way back to Hogwarts."
"FUDGE","These are your new schoolbooks."
"FUDGE","I took the liberty..."
"FUDGE","...of having them brought here."
"FUDGE","Now Tom will show you to your room."
"FUDGE","Hedwig."
"FUDGE","Oh, by the way, Harry. Whilst you're"
"FUDGE","here, it would be best if you didn't..."
"FUDGE","...wander."
"FUDGE","that bus or what?"
"WlTCH MAID","Housekeeping."
"WlTCH MAID","I'll come back later."
"BOY","I'm warning you, Hermione."
"BOY","Keep that beast away from Scabbers,"
"BOY","or l'll turn it into a tea cozy."
"BOY","What do you expect?"
"BOY","-lt's in his nature."
"BOY","-a cat? Is That What They told you?"
"BOY","-Looks like a pig with hair."
"BOY","...coming from the owner"
"BOY","of that smelly old shoe brush."
"BOY","Crookshanks, just ignore"
"BOY","the mean little boy."
"BOY","Harry."
"BOY","-Brilliant. Loads of old stuff..."
"BOY","...like mummies, tombs,"
"BOY","even Scabbers enjoyed himself."
"BOY","-Egyptians used to worship cats."
"BOY","-Along with The dung beetle."
"BOY","-l haven't shown anyone."
"BOY","No, not a soul."
"BOY","Not unless you count Tom."
"BOY","-Night maid."
"BOY","-The bloke who fixed The toilet."
"BOY","-Harry."
"BOY","-Good to see you, dear."
"BOY","-Good to see you."
"BOY","-Got everything?"
"BOY","-Yes."
"BOY","-Yes? All your books?"
"BOY","-lt's all upstairs."
"BOY","-your clothes?"
"BOY","-Everything."
"BOY","-Good boy."
"BOY","-Thank you."
"BOY","-Harry Potter."
"BOY","-Harry, wonder if I might have a word?"
"BOY","-Yeah, sure."
"BOY","-looking forward to a new term?"
"BOY","-Yeah. it should be great."
"BOY","Harry, some within the Ministry"
"BOY","would strongly discourage me..."
"BOY","...from divulging what l'm about"
"BOY","to reveal to you."
"BOY","But l think that you need"
"BOY","to know the facts."
"BOY","You are in danger."
"BOY","Grave danger."
"BOY","Has this anything to do"
"BOY","with Sirius Black, sir?"
"BOY","What do you know"
"BOY","about Sirius Black, Harry?"
"BOY","-Only that he's escaped from Azkaban."
"BOY","-Do you know why?"
"BOY","Thirteen years ago,"
"BOY","when you stopped...."
"BOY","-Voldemort."
"BOY","-Don't say his name."
"BOY","Sorry."
"BOY","When you stopped You-Know-Who..."
"BOY","...Black lost everything."
"BOY","But to this day, he still remains"
"BOY","a faithful servant."
"BOY","And in his mind..."
"BOY","...you are the only thing"
"BOY","that stands in the way..."
"BOY","...of You-Know-Who"
"BOY","returning to power."
"BOY","And that is why..."
"BOY","...he has escaped from Azkaban."
"BOY","To find you."
"BOY","And kill me."
"BOY","Harry, swear to me"
"BOY","that whatever you might hear..."
"BOY","...you won't go looking for Black."
"BOY","Mr. Weasley..."
"BOY","...why would l go looking"
"BOY","for someone who wants to kill me?"
"MRS. WEASLEY","Quick. Quick."
"MRS. WEASLEY","Ron, Ron!"
"MRS. WEASLEY","Oh, for goodness' sake!"
"MRS. WEASLEY","Don't lose him!"
"HARRY","I didn't mean to blow her up. l just--"
"HARRY","-l lost control."
"HARRY","Harry was lucky not to be expelled."
"HARRY","I was lucky not to be arrested."
"RON","I still think it was brilliant."
"RON","Come on. Everywhere else is full."
"RON","Who do you think that is?"
"RON","-Professor R.J. Lupin."
"RON","How is it she knows everything?"
"RON","-lt's on his suitcase, Ronald."
"RON","-Oh."
"RON","-Seems to be. why?"
"RON","I gotta tell you something."
"RON","Let me get this straight."
"RON","Sirius Black escaped from Azkaban..."
"RON","-...to come after you?"
"RON","But they'll catch Black, won't they?"
"RON","-l mean, everyone's looking for him."
"RON","-sure."
"RON","Except no one's ever broken out"
"RON","of Azkaban before..."
"RON","-...and he's a murderous, raving lunatic."
"RON","-Thanks, Ron."
"HERMlONE","Why are we stopping?"
"HERMlONE","We can't be there yet."
"HERMlONE","What's going on?"
"HERMlONE","I don't know."
"HERMlONE","Maybe we've broken down."
"HERMlONE","Ouch, Ron. That was my foot."
"HERMlONE","There's something moving out there."
"HERMlONE","I think someone's coming aboard."
"HERMlONE","Bloody hell! What's happening?"
"HERMlONE","Harry."
"HERMlONE","Harry, are you all right?"
"HERMlONE","Thank you."
"LUPlN","Here, eat this. lt'll help."
"LUPlN","It's all right. lt's chocolate."
"LUPlN","What was that thing that came?"
"LUPlN","It was a dementor. One of the guards"
"LUPlN","of Azkaban. lt's gone now."
"LUPlN","It was searching the train"
"LUPlN","for Sirius Black."
"LUPlN","If you'll excuse me, l need to have"
"LUPlN","a little word with the driver."
"LUPlN","Eat. You'll feel better."
"LUPlN","What happened to me?"
"LUPlN","Well, you sort of went rigid."
"LUPlN","We thought maybe you were"
"LUPlN","having a fit or something."
"LUPlN","And did either of you two..."
"LUPlN","...you know..."
"LUPlN","-...pass out?"
"LUPlN","-No."
"LUPlN","I felt weird, though."
"LUPlN","Like l'd never be cheerful again."
"LUPlN","But someone was screaming."
"LUPlN","A woman."
"LUPlN","No one was screaming, Harry."
"LUPlN","Welcome! Welcome to another year"
"LUPlN","at Hogwarts."
"LUPlN","Now, l'd like to say a few words..."
"LUPlN","...before we all become too befuddled"
"LUPlN","by our excellent feast."
"LUPlN","First, I'm pleased to welcome"
"LUPlN","Professor R.J. Lupin..."
"LUPlN","...who's kindly consented"
"LUPlN","to fill the post..."
"LUPlN","...of Defense Against"
"LUPlN","the Dark Arts teacher."
"LUPlN","Good luck, professor."
"LUPlN","Of course. That's why he knew"
"LUPlN","to give you the chocolate, Harry."
"LUPlN","Potter. Potter. ls it true you fainted?"
"LUPlN","-l mean, you actually fainted?"
"LUPlN","-Shove off, Malfoy."
"LUPlN","-Just forget it."
"LUPlN","Magical Creatures teacher..."
"LUPlN","...has decided to retire..."
"LUPlN","...in order to spend more time"
"LUPlN","with his remaining limbs."
"LUPlN","Fortunately,"
"LUPlN","I'm delighted to announce..."
"LUPlN","...that his place will be taken"
"LUPlN","by none other..."
"LUPlN","...than our own Rubeus Hagrid."
"DUMBLEDORE","Finally, on a more disquieting note..."
"DUMBLEDORE","...at the request"
"DUMBLEDORE","of the Ministry of Magic..."
"DUMBLEDORE","...Hogwarts will, until further notice,"
"DUMBLEDORE","play host to the dementors of Azkaban..."
"DUMBLEDORE","...until such a time"
"DUMBLEDORE","as Sirius Black is captured."
"DUMBLEDORE","The dementors will be stationed"
"DUMBLEDORE","at every entrance to the grounds."
"DUMBLEDORE","Now whilst l've been assured..."
"DUMBLEDORE","...that their presence will not disrupt"
"DUMBLEDORE","our day-to-day activities..."
"DUMBLEDORE","...a word of caution."
"DUMBLEDORE","Dementors are vicious creatures."
"DUMBLEDORE","They'll not distinguish..."
"DUMBLEDORE","...between the one they hunt"
"DUMBLEDORE","and the one who gets in their way."
"DUMBLEDORE","Therefore, I must warn"
"DUMBLEDORE","each and every one of you..."
"DUMBLEDORE","...to give them no reason"
"DUMBLEDORE","to harm you."
"DUMBLEDORE","It is not in the nature"
"DUMBLEDORE","of a dementor to be forgiving."
"DUMBLEDORE","But you know,"
"DUMBLEDORE","happiness can be found..."
"DUMBLEDORE","...even in the darkest of times..."
"DUMBLEDORE","...if one only remembers"
"DUMBLEDORE","to turn on the light."
"SEAMUS","Fortuna Major."
"SEAMUS","She just won't let me in."
"SEAMUS","-Fortuna Major."
"SEAMUS","-no, No. Wait, wait."
"SEAMUS","Watch this."
"SEAMUS","-Amazing. Just with My voice."
"SEAMUS","-Fortuna Major."
"SEAMUS","-Yes, All right. Go in."
"SEAMUS","-Thank you."
"SEAMUS","Still doing that after three years."
"SEAMUS","-She can't even sing."
"RON","Green. That's a monkey."
"RON","Do not give him one again."
"RON","Hey, Neville, try an elephant."
"SEAMUS","I think we have a winner."
"SEAMUS","-Oh, don't try one of them."
"RON","Look at him. His face."
"WOMAN","Welcome, my children."
"WOMAN","In this room, you shall explore"
"WOMAN","the noble art of Divination."
"WOMAN","In this room, you shall discover"
"WOMAN","if you possess the Sight."
"WOMAN","Hello. I am Professor Trelawney."
"WOMAN","Together we shall cast ourselves"
"WOMAN","into the future."
"WOMAN","This term, we'll focus on Tasseomancy,"
"WOMAN","the art of reading tea leaves."
"WOMAN","So please, take the cup"
"WOMAN","of the person sitting opposite you."
"WOMAN","What do you see?"
"WOMAN","The truth lies buried like a sentence"
"WOMAN","deep within a book, waiting to be read."
"WOMAN","But first, you must broaden"
"WOMAN","your minds."
"WOMAN","-First, you must look beyond."
"WOMAN","-What a load of rubbish."
"WOMAN","-Where did you come from?"
"WOMAN","-Me?"
"WOMAN","-l've been here all this time."
"WOMAN","-you, boy...."
"WOMAN","Is your grandmother quite well?"
"WOMAN","I think so."
"WOMAN","I wouldn't be so sure of that."
"WOMAN","Give me the cup."
"WOMAN","Pity."
"WOMAN","Broaden your minds."
"WOMAN","Your aura is pulsing, dear."
"WOMAN","Are you in the beyond?"
"WOMAN","-l think you are."
"WOMAN","-sure."
"WOMAN","Look at the cup."
"WOMAN","Tell me what you see."
"WOMAN","Yeah. Um, well...."
"WOMAN","Harry's got sort of a wonky cross."
"WOMAN","That's trials and suffering."
"WOMAN","And that there could be the sun"
"WOMAN","and that's happiness."
"WOMAN","So..."
"WOMAN","...you're gonna suffer,"
"WOMAN","but you're gonna be happy about it."
"WOMAN","Give me the cup."
"TRELAWNEY","Oh, my dear boy."
"TRELAWNEY","My dear..."
"TRELAWNEY","...you have the Grim."
"SEAMUS","The Grin? What's the Grin?"
"BEM","Not the Grin, you idiot. The Grim."
"BEM","got anything to do with Sirius Black?"
"BEM","Divination's a woolly discipline."
"BEM","Now, Ancient Runes,"
"BEM","that's a fascinating subject."
"BEM","Ancient Runes? Exactly how many"
"BEM","classes are you taking?"
"HERMlONE","A fair few."
"HERMlONE","Hang on. That's not possible."
"HERMlONE","Ancient Runes is in the"
"HERMlONE","same time as Divination."
"HERMlONE","You have to be in two"
"HERMlONE","classes at once."
"HERMlONE","anyone be in two classes at once?"
"HERMlONE","Broaden your minds. Use your
Inner Eye to see the future."
"HERMlONE","That's it. Come on, now. Come closer."
"HERMlONE","Less talking, if you don't mind."
"HERMlONE","I got a real treat for you today."
"HERMlONE","A great lesson. So follow me."
"HERMlONE","Right, you lot. Less chattering."
"HERMlONE","Form a group over there."
"HERMlONE","And open your books to page 49."
"HERMlONE","Exactly how do we do that?"
"HERMlONE","Just stroke the spine, of course."
"HERMlONE","Goodness me."
"HERMlONE","-l'm okay. Okay."
"HERMlONE","-l think they're funny."
"HERMlONE","Witty. God, this place"
"HERMlONE","has gone to the dogs."
"HERMlONE","Wait until Father hears Dumbledore's"
"HERMlONE","got this oaf teaching classes."
"HERMlONE","Shut up, Malfoy."
