Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Name
0.997784674,0.000844925,0.000836325,0.000534097,realDonaldTrump
0.60425669,0.395108193,0.000317699,0.000317429,_andrewcouch
0.140331075,0.738522828,0.005068894,0.116077192,brhodes
0.964670718,0.003311567,0.00337405,0.028643653,ChipotleTweets
0.998112917,0.000751298,0.000688996,0.000446808,Book_Alicia
0.997526467,0.000535838,0.000471124,0.001466583,Book_Colin
0.998790801,0.000540563,0.000405605,0.000263032,Book_Dean
0.000714439,0.000437006,0.000418405,0.998430073,Book_Draco
0.998565495,0.000615979,0.000405514,0.000413084,Book_Dumbledore
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.998051763,0.000648726,0.000537186,0.000762304,Book_Fred
0.998790801,0.000540563,0.000405605,0.000263032,Book_George
0.998790801,0.000540563,0.000405605,0.000263032,Book_Ginny
0.012916533,0.87546128,0.005675078,0.105947085,Book_Hannah
0.998565495,0.000615979,0.000405514,0.000413084,Book_Harry
0.998565495,0.000615979,0.000405514,0.000413084,Book_Hermione
0.000547415,0.000268897,0.000350733,0.998833001,Book_Justin
0.005910791,0.000843568,0.991783381,0.001462226,Book_Lockhart
0.000547415,0.000268897,0.000350733,0.998833001,Book_Malfoy
0.998565495,0.000615979,0.000405514,0.000413084,Book_Mcgonagall
0.000296203,0.000310218,0.998737991,0.000655616,Book_Myrtle
0.998790801,0.000540563,0.000405605,0.000263032,Book_Neville
0.998790801,0.000540563,0.000405605,0.000263032,Book_Nick
0.998790801,0.000540563,0.000405605,0.000263032,Book_Percy
0.000547415,0.000268897,0.000350733,0.998833001,Book_Riddle
0.998565495,0.000615979,0.000405514,0.000413084,Book_Ron
0.998112917,0.000751298,0.000688996,0.000446808,Book_Seamus
0.000547415,0.000268897,0.000350733,0.998833001,Book_Snape
0.000611465,0.998170018,0.000533755,0.00068474,Book_Sprout
0.216592118,0.765353799,0.009351411,0.008702707,Book_Uncle
0.216592118,0.765353799,0.009351411,0.008702707,Book_Uncle
0.998790801,0.000540563,0.000405605,0.000263032,Book_Bill
0.998790801,0.000540563,0.000405605,0.000263032,Book_Charlie
0.000296203,0.000310218,0.998737991,0.000655616,Book_Cho
0.000939051,0.00037173,0.000371819,0.99831748,Book_Crabbe
0.002303589,0.996438742,0.000769369,0.000488321,Book_Dirk
0.000296203,0.000310218,0.998737991,0.000655616,Book_Flitwick
0.997784674,0.000844925,0.000836325,0.000534097,Book_James
0.000744952,0.998196185,0.000588484,0.000470355,Book_Kingsley
0.000611465,0.998170018,0.000533755,0.00068474,Book_Krum
0.998565495,0.000615979,0.000405514,0.000413084,Book_Lee
