book,house,character,text
Chamber_Of_Secrets,Gryffindor,Book_Alicia," (I Oliver, this is insane,"" said Alicia Spinner angrily."
Chamber_Of_Secrets,No Entry,Book_Binns," ""Well,"" said Professor Binns slowly, ""yes, one could argue that, I suppose."""
Chamber_Of_Secrets,No Entry,Book_Binns,"  ""That is believed to be some sort of monster, which the Heir of Slytherin alone can control,"" said Professor Binns in his dry, reedy voice."
Chamber_Of_Secrets,No Entry,Book_Binns," ""I tell you, the thing does not exist,"" said Professor Binns, shuffling his notes."
Chamber_Of_Secrets,No Entry,Book_Binns,"  ""Nonsense, O'Flaherty,"" said Professor Binns in an aggravated  *151*  tone."
Chamber_Of_Secrets,Gryffindor,Book_Colin," ""So I can prove I've met you,"" said Colin Creevey eagerly, edging further forward."
Chamber_Of_Secrets,Gryffindor,Book_Colin," ""I don't really understand Quidditch,"" said Colin breathlessly."
Chamber_Of_Secrets,Gryffindor,Book_Colin," ""Oooh,"" said Colin, fascinated and raising his camera."
Chamber_Of_Secrets,Gryffindor,Book_Dean," ""Cool,"" said Dean."
Chamber_Of_Secrets,No Entry,Book_Dobby,"  ""Oh, yes, sir,"" said Dobby earnestly."
Chamber_Of_Secrets,No Entry,Book_Dobby," ""I-Tarry Potter is humble and modest,"" said Dobby reverently, his orb- like eyes aglow."
Chamber_Of_Secrets,No Entry,Book_Dobby,"  ""No, no, no,"" squeaked Dobby, shaking his head so hard his ears flapped."
Chamber_Of_Secrets,No Entry,Book_Dobby,"A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year,"" whispered Dobby, suddenly trembling all over."
Chamber_Of_Secrets,No Entry,Book_Dobby,"  ""Indeed yes, sir,"" said Dobby, nodding his head vigorously, ears flapping."
Chamber_Of_Secrets,No Entry,Book_Dobby,"  ""Got a sock,"" said Dobby in disbelief."
Chamber_Of_Secrets,No Entry,Book_Dobby,"Well --""  ""It was a clue, sir,"" said Dobby, his eyes widening, as though this was obvious."
Chamber_Of_Secrets,Slytherin,Book_Draco,"  ""I hope my son will amount to more than a thief or a plunderer, Borgin,"" said Mr. Malfoy coldly, and Mr. Borgin said quickly, ""No offense, sir, no offense meant -""  ""Though if his grades don't pick up,"" said Mr. Malfoy, more coldly still, ""that may indeed be all he is fit for -""  ""It's not my fault,"" retorted Draco."
Chamber_Of_Secrets,No Entry,Book_Dudley,"  ""Today's your birthday,"" sneered Dudley."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Not today, Mr. Weasley,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," *140*  ""My office is nearest, Headmaster - just upstairs - please feel free -""  ""Thank you, Gilderoy,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""She has been Petrified,"" said Dumbledore (""Ah!"
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""No second year could have done this,"" said Dumbledore firmly."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""We will be able to cure her, Argus,"" said Dumbledore patiently."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Get Madam Pomfrey,"" whispered Dumbledore, and Professor McGonagall hurried past the end of Harry's bed out of sight."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""Another attack,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""It means,"" said Dumbledore, ""that the Chamber of Secrets is indeed open again."""
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"""The question is not who,"" said Dumbledore, his eyes on Colin."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""It's a shame you had to see him on a Burning Day,"" said Dumbledore, seating himself behind his desk."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""No, Harry, I don't,"" said Dumbledore, though his face was somber again."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Well, hurry off to bed,"" said Dumbledore, giving Riddle exactly the kind of penetrating stare Harry knew so well."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"""You know I never, Professor Dumbledore, sir -""  ""I want it understood, Cornelius, that Hagrid has my full confidence,"" said Dumbledore, frowning at Fudge."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"Ministry's got to do something - the school governors have been in touch -""  ""Yet again, Cornelius, I tell you that taking Hagrid away will not help in the slightest,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""Calm yourself, Hagrid,"" said Dumbledore sharply."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""However,"" said Dumbledore, speaking very slowly and clearly so that none of them could miss a word, ""you will find that I will  * 26$*  ummer was creeping over the grounds around the castle; sky and lake alike turned periwinkle blue and flowers large as cabbages burst into bloom in the greenhouses."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""\What interests me most,"" said Dumbledore gently, ""is how Lord Voldemort managed to enchant Ginny, when my sources tell me he is currently in hiding in the forests of Albania."""
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""There has been no lasting harm done, Ginny,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""Certainly,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""I seem to remember telling you both that I would have to expel you if you broke any more school rules, said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Dear me,"" said Dumbledore, shaking his head, his long silver mustache quivering."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""First of all, Harry, I want to thank you,"" said Dumbledore, eyes twinkling again."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""And so you met Tom Riddle,"" said Dumbledore thoughtfully."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""You can speak Parseltongue, Harry,"" said Dumbledore calmly, ""because Lord Voldemort -- who is the last remaining ancestor of Salazar Slytherin -- can speak Parseltongue."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"""The Sorting Hat could see Slytherin's power in me, and it --""  ""Put you in Gryffindor,"" said Dumbledore calmly."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  `Exactly, ""said Dumbledore, beaming once more."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," Godric Gryffindor   ""Only a true Gryffindor could have pulled that out of the hat, Harry,"" said Dumbledore simply."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Good evening, Lucius,"" said Dumbledore pleasantly."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"   ""Well, you see, Lucius,"" said Dumbledore, smiling serenely, ""the other eleven governors contacted me today."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""We have,"" said Dumbledore, with a smile."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""The same person as last time, Lucius,"" said Dumbledore."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""A clever plan,"" said Dumbledore in a level voice, still staring Mr. Malfoy straight in the eye."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore," ""Oh, no one will be able to do that,"" said Dumbledore, smiling at Harry."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"  ""Certainly, Harry,"" said Dumbledore calmly."
Chamber_Of_Secrets,Gryffindor,Book_Dumbledore,"He cleared his throat and said, ""Professor Dumbledore, these boys have flouted the Decree for the Restriction of Underage Wizardry, caused serious damage to an old and valuable tree - surely acts of this nature -""  * 8i  ""It will be for Professor McGonagall to decide on these boys' punishments, Severus,"" said Dumbledore calmly."
Chamber_Of_Secrets,Gryffindor,Book_Ernie," ""All I saw,"" said Ernie stubbornly, though he was trembling as he spoke, ""was you speaking Parseltongue and chasing the snake toward Justin."
Chamber_Of_Secrets,Gryffindor,Book_Ernie,"  ""It was a very near miss,"" said Ernie."
Chamber_Of_Secrets,Hufflepuff,Book_Ernie,"  ""I've heard you hate those Muggles you live with,"" said Ernie swiftly."
Chamber_Of_Secrets,Ravenclaw,Book_Ernie," ""That Draco Malfoy character,"" said Ernie, breaking off dead twigs, ""he seems very pleased about all this, doesn't he?"
Chamber_Of_Secrets,Gryffindor,Book_Fred,"  ""Tie that around the bars,"" said Fred, throwing the end of a rope to Harry."
Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Don't worry,"" said Fred, ""and stand back."""
Chamber_Of_Secrets,Gryffindor,Book_Fred," ""A lot of wizards think it's a waste of time, knowing this sort of Muggle trick,"" said Fred, ""but we feel they're skills worth learning, even if they are a bit slow."""
Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Very fishy,"" said Fred finally."
Chamber_Of_Secrets,Gryffindor,Book_Fred," ""Well,"" said Fred, ""put it this way - house-elves have got powerful magic of their own, but they can't usually use it without their master's permission."
